"","YEAR","YEAR_SCALED","SPECIES","STATION_ID","LATITUDE","LONGITUDE","SIZE","MATURE"
"66514",2012,0.645789362138497,"TANNER","F-12",6324.93758527572,1112.41883673971,105.1,0
"66515",2012,0.645789362138497,"TANNER","F-12",6324.93758527572,1112.41883673971,139.7,1
"66516",2012,0.645789362138497,"TANNER","F-12",6324.93758527572,1112.41883673971,63.1,0
"66517",2012,0.645789362138497,"TANNER","F-21",6281.03095812682,553.478050760265,75.7,0
"66518",2012,0.645789362138497,"TANNER","F-23",6278.76429246738,478.508965846538,102.8,1
"66519",2012,0.645789362138497,"TANNER","F-23",6278.76429246738,478.508965846538,93.4,1
"66520",2012,0.645789362138497,"TANNER","F-24",6280.66368208916,442.185382829192,79,0
"66521",2012,0.645789362138497,"TANNER","F-24",6280.66368208916,442.185382829192,89.5,1
"66522",2012,0.645789362138497,"TANNER","F-24",6280.66368208916,442.185382829192,58,0
"66523",2012,0.645789362138497,"TANNER","F-25",6282.3644988811,404.619100470855,109.5,1
"66524",2012,0.645789362138497,"TANNER","F-25",6282.3644988811,404.619100470855,75.1,0
"66525",2012,0.645789362138497,"TANNER","G-02",6323.81344666685,737.106654724834,56.3,0
"66526",2012,0.645789362138497,"TANNER","G-02",6323.81344666685,737.106654724834,126.8,1
"66527",2012,0.645789362138497,"TANNER","G-02",6323.81344666685,737.106654724834,88.6,0
"66528",2012,0.645789362138497,"TANNER","G-02",6323.81344666685,737.106654724834,123.9,1
"66529",2012,0.645789362138497,"TANNER","G-02",6323.81344666685,737.106654724834,90.4,1
"66530",2012,0.645789362138497,"TANNER","G-02",6323.81344666685,737.106654724834,80,1
"66531",2012,0.645789362138497,"TANNER","G-04",6328.97339634557,812.051175320069,103.6,0
"66532",2012,0.645789362138497,"TANNER","G-04",6328.97339634557,812.051175320069,64.9,0
"66533",2012,0.645789362138497,"TANNER","G-04",6328.97339634557,812.051175320069,101,0
"66534",2012,0.645789362138497,"TANNER","G-04",6328.97339634557,812.051175320069,72.1,0
"66535",2012,0.645789362138497,"TANNER","G-04",6328.97339634557,812.051175320069,88.6,0
"66536",2012,0.645789362138497,"TANNER","G-04",6328.97339634557,812.051175320069,70.6,0
"66537",2012,0.645789362138497,"TANNER","G-04",6328.97339634557,812.051175320069,86,0
"66538",2012,0.645789362138497,"TANNER","G-04",6328.97339634557,812.051175320069,116.3,0
"66539",2012,0.645789362138497,"TANNER","G-04",6328.97339634557,812.051175320069,117.1,1
"66540",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,55.6,0
"66541",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,78,1
"66542",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,60.9,0
"66543",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,86.4,0
"66544",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,82.4,1
"66545",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,62.4,0
"66546",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,57.8,0
"66547",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,80.6,0
"66548",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,77.4,1
"66549",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,68.7,0
"66550",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,62,0
"66551",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,65.2,0
"66552",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,77.9,0
"66553",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,56.4,0
"66554",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,82.5,0
"66555",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,61.3,0
"66556",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,66.9,0
"66557",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,97.9,0
"66558",2012,0.645789362138497,"TANNER","G-06",6335.67488010846,887.437485472365,81.4,0
"66559",2012,0.645789362138497,"TANNER","G-07",6339.54566731943,923.116115634854,58.8,0
"66560",2012,0.645789362138497,"TANNER","G-07",6339.54566731943,923.116115634854,56.5,0
"66561",2012,0.645789362138497,"TANNER","G-07",6339.54566731943,923.116115634854,79.5,0
"66562",2012,0.645789362138497,"TANNER","G-07",6339.54566731943,923.116115634854,60.7,0
"66563",2012,0.645789362138497,"TANNER","G-07",6339.54566731943,923.116115634854,61,0
"66564",2012,0.645789362138497,"TANNER","G-07",6339.54566731943,923.116115634854,57.3,0
"66565",2012,0.645789362138497,"TANNER","G-08",6343.34858281728,961.485613668453,87.3,0
"66566",2012,0.645789362138497,"TANNER","G-08",6343.34858281728,961.485613668453,65.3,0
"66567",2012,0.645789362138497,"TANNER","G-08",6343.34858281728,961.485613668453,89.3,0
"66568",2012,0.645789362138497,"TANNER","G-08",6343.34858281728,961.485613668453,98.7,0
"66569",2012,0.645789362138497,"TANNER","G-08",6343.34858281728,961.485613668453,98.3,0
"66570",2012,0.645789362138497,"TANNER","G-08",6343.34858281728,961.485613668453,75.6,0
"66571",2012,0.645789362138497,"TANNER","G-08",6343.34858281728,961.485613668453,104.5,0
"66572",2012,0.645789362138497,"TANNER","G-08",6343.34858281728,961.485613668453,79.2,0
"66573",2012,0.645789362138497,"TANNER","G-08",6343.34858281728,961.485613668453,85.2,1
"66574",2012,0.645789362138497,"TANNER","G-08",6343.34858281728,961.485613668453,85.2,0
"66575",2012,0.645789362138497,"TANNER","G-08",6343.34858281728,961.485613668453,82.1,0
"66576",2012,0.645789362138497,"TANNER","G-08",6343.34858281728,961.485613668453,101.7,0
"66577",2012,0.645789362138497,"TANNER","G-08",6343.34858281728,961.485613668453,85,0
"66578",2012,0.645789362138497,"TANNER","G-08",6343.34858281728,961.485613668453,77.6,0
"66579",2012,0.645789362138497,"TANNER","G-09",6347.60700706986,998.144385309859,102.1,0
"66580",2012,0.645789362138497,"TANNER","G-09",6347.60700706986,998.144385309859,98.2,0
"66581",2012,0.645789362138497,"TANNER","G-09",6347.60700706986,998.144385309859,88.6,0
"66582",2012,0.645789362138497,"TANNER","G-09",6347.60700706986,998.144385309859,78.8,0
"66583",2012,0.645789362138497,"TANNER","G-11",6358.69624926773,1072.00031359013,98.9,0
"66584",2012,0.645789362138497,"TANNER","G-11",6358.69624926773,1072.00031359013,79.5,0
"66585",2012,0.645789362138497,"TANNER","G-11",6358.69624926773,1072.00031359013,105.9,0
"66586",2012,0.645789362138497,"TANNER","G-11",6358.69624926773,1072.00031359013,93.5,0
"66587",2012,0.645789362138497,"TANNER","G-14",6375.25061937753,1184.89322602314,60.7,0
"66588",2012,0.645789362138497,"TANNER","G-14",6375.25061937753,1184.89322602314,63.9,0
"66589",2012,0.645789362138497,"TANNER","G-14",6375.25061937753,1184.89322602314,61,0
"66590",2012,0.645789362138497,"TANNER","G-14",6375.25061937753,1184.89322602314,65.1,0
"66591",2012,0.645789362138497,"TANNER","G-14",6375.25061937753,1184.89322602314,58.1,0
"66592",2012,0.645789362138497,"TANNER","G-14",6375.25061937753,1184.89322602314,76.3,0
"66593",2012,0.645789362138497,"TANNER","G-18",6320.85085161252,660.819689381423,119.8,1
"66594",2012,0.645789362138497,"TANNER","G-18",6320.85085161252,660.819689381423,128.1,1
"66595",2012,0.645789362138497,"TANNER","G-18",6320.85085161252,660.819689381423,119.7,1
"66596",2012,0.645789362138497,"TANNER","G-22",6317.53335853864,513.231990391438,99.8,0
"66597",2012,0.645789362138497,"TANNER","G-22",6317.53335853864,513.231990391438,94.4,1
"66598",2012,0.645789362138497,"TANNER","G-22",6317.53335853864,513.231990391438,90,0
"66599",2012,0.645789362138497,"TANNER","G-22",6317.53335853864,513.231990391438,93.2,0
"66600",2012,0.645789362138497,"TANNER","GF2019",6300.26504544119,603.587124288328,83.8,0
"66601",2012,0.645789362138497,"TANNER","GF2019",6300.26504544119,603.587124288328,95.6,1
"66602",2012,0.645789362138497,"TANNER","GF2019",6300.26504544119,603.587124288328,115.9,1
"66603",2012,0.645789362138497,"TANNER","GF2120",6299.31595148849,570.472557402717,98.7,0
"66604",2012,0.645789362138497,"TANNER","GF2221",6298.43455604628,531.666614205875,78,0
"66605",2012,0.645789362138497,"TANNER","H-02",6361.2524617699,733.18853196721,57.9,0
"66606",2012,0.645789362138497,"TANNER","H-02",6361.2524617699,733.18853196721,92,0
"66607",2012,0.645789362138497,"TANNER","H-02",6361.2524617699,733.18853196721,95.8,0
"66608",2012,0.645789362138497,"TANNER","H-02",6361.2524617699,733.18853196721,84.5,0
