"","YEAR","SPECIES","REGION","DISTRICT","SIZE_5MM","PROP_MATURE","PROP_MATURE_SD","PROP_MATURE_LOGIT","PROP_MATURE_LOGIT_SD","NUM_MATURE","NUM_IMMATURE","TOTAL_CRAB","INTERPOLATED"
"761",2017,"SNOW","EBS","ALL",57.5,0.263506458718591,0.0145115092585081,-1.02914738024125,0.075092966561905,3171.55509149005,8864.41209850995,12035.96719,"N"
"762",2017,"SNOW","EBS","ALL",62.5,0.332775026860438,0.0203403790027951,-0.697075701007784,0.0920293180089407,2759.3178377845,5532.5238422155,8291.84168,"N"
"763",2017,"SNOW","EBS","ALL",67.5,0.36193481244517,0.0249737887740889,-0.568519844588191,0.107561733069379,1432.04269072519,2524.58883927481,3956.63153,"N"
"764",2017,"SNOW","EBS","ALL",72.5,0.396043013741338,0.0347175449307686,-0.423976449269297,0.144304639235545,987.483907804514,1505.89149219549,2493.3754,"N"
"765",2017,"SNOW","EBS","ALL",77.5,0.413106028614017,0.0293487011573985,-0.352351543562057,0.120946954202591,760.452021926728,1080.36357807327,1840.8156,"N"
"766",2017,"SNOW","EBS","ALL",82.5,0.442800329242028,0.0201069112047681,-0.230157985579436,0.0813710392427646,438.31508957905,551.55565042095,989.87074,"N"
"767",2017,"SNOW","EBS","ALL",87.5,0.512417260609076,0.0128778342091842,0.0497183250136494,0.0515787711944293,294.546444569366,280.271125430634,574.81757,"N"
"768",2017,"SNOW","EBS","ALL",92.5,0.645319952866404,0.00732040288874816,0.598678563772268,0.0320296814500746,177.539818831849,97.5792411681507,275.11906,"N"
"769",2017,"SNOW","EBS","ALL",97.5,0.760496780877541,0.00410135283208799,1.15553364640903,0.0223327410742726,276.55971166971,87.0969383302896,363.65665,"N"
"770",2017,"SNOW","EBS","ALL",102.5,0.875205434423752,0.00955666746436543,1.95048436826804,0.0844934443299053,295.589844193616,42.1478258063842,337.73767,"N"
"771",2017,"SNOW","EBS","ALL",107.5,0.945422208053807,0.00702548638082361,2.85940354325731,0.126722240508032,260.168610234359,15.0191397656411,275.18775,"N"
