"","YEAR","SPECIES","REGION","DISTRICT","SIZE_5MM","PROP_MATURE","PROP_MATURE_SD","PROP_MATURE_LOGIT","PROP_MATURE_LOGIT_SD","NUM_MATURE","NUM_IMMATURE","TOTAL_CRAB","INTERPOLATED"
"1719",2008,"TANNER","EBS","W166",37.5,0.00491497850807482,0.00365659921134517,-5.66729910621695,0.914383920973682,0.608045261675907,123.104654738324,123.7127,"N"
"1720",2008,"TANNER","EBS","W166",42.5,0.00734227724600134,0.00411874034637523,-5.09707727528638,0.662474776028535,1.24084485457423,167.759155145426,169,"N"
"1721",2008,"TANNER","EBS","W166",47.5,0.00634334601742188,0.00298633223749738,-5.17068547696023,0.493341512678137,0.655004394739957,102.60349560526,103.2585,"N"
"1722",2008,"TANNER","EBS","W166",52.5,0.0212297210196597,0.00738799351299884,-3.89779301859443,0.385365881931416,2.00533397185183,92.4534660281482,94.4588,"N"
"1723",2008,"TANNER","EBS","W166",57.5,0.026614245954643,0.00800299301989241,-3.65560358896364,0.364942014826775,5.00238971681334,182.956710283187,187.9591,"N"
"1724",2008,"TANNER","EBS","W166",62.5,0.035710815648219,0.00967074132632403,-3.331054476682,0.274301736354604,6.27301901407119,169.388580985929,175.6616,"N"
"1725",2008,"TANNER","EBS","W166",67.5,0.0416548414425794,0.00986924590660693,-3.16390259250751,0.249937555062201,7.88639866225166,181.440901337748,189.3273,"N"
"1726",2008,"TANNER","EBS","W166",72.5,0.0780882935014601,0.0119114499315179,-2.47929523149569,0.157894949995864,18.0207790798234,212.753620920177,230.7744,"N"
"1727",2008,"TANNER","EBS","W166",77.5,0.136198967066935,0.0185296429207868,-1.85717236762131,0.168178463868081,29.3013554584989,185.835044541501,215.1364,"N"
"1728",2008,"TANNER","EBS","W166",82.5,0.226437277974482,0.0163120721849143,-1.23088706470681,0.0930578480572818,43.6472798156161,149.109320184384,192.7566,"N"
"1729",2008,"TANNER","EBS","W166",87.5,0.392745335726687,0.0282316790440546,-0.437433218219902,0.120160919711792,108.453678870907,167.688821129093,276.1425,"N"
"1730",2008,"TANNER","EBS","W166",92.5,0.469290528662286,0.0326787772903946,-0.123702304980445,0.132198945277944,161.735818507642,182.903181492358,344.639,"N"
"1731",2008,"TANNER","EBS","W166",97.5,0.502227052372006,0.0326570838365752,0.00873220003577171,0.131125820399962,193.062055433722,191.349844566278,384.4119,"N"
"1732",2008,"TANNER","EBS","W166",102.5,0.543377508998421,0.0257476821642878,0.174319210188693,0.103555968040775,185.047265027163,155.502834972837,340.5501,"N"
"1733",2008,"TANNER","EBS","W166",107.5,0.593982636436276,0.0331034307033314,0.382287890489723,0.138290733218984,178.304440125569,121.880159874431,300.1846,"N"
"1734",2008,"TANNER","EBS","W166",112.5,0.678346847819064,0.039059357003209,0.752589412907764,0.186065766006232,195.386616791292,92.6468832087076,288.0335,"N"
"1735",2008,"TANNER","EBS","W166",117.5,0.769474966209556,0.0397767831074513,1.22124991944263,0.243727616047678,168.062720214755,50.3494797852453,218.4122,"N"
"1736",2008,"TANNER","EBS","W166",122.5,0.855904354903432,0.0294687825674355,1.80611112906504,0.269015221880295,176.300377289106,29.6810227108943,205.9814,"N"
"1737",2008,"TANNER","EBS","W166",127.5,0.888075422346641,0.0234124510290903,2.09413745195977,0.246648270693175,206.565899200117,26.0336007998826,232.5995,"N"
"1738",2008,"TANNER","EBS","W166",132.5,0.932216170101049,0.0178241237013947,2.65930441495905,0.304929612490799,149.350445833506,10.8596541664939,160.2101,"N"
"1739",2008,"TANNER","EBS","W166",137.5,0.960990923806399,0.00861107723333326,3.22785926869771,0.226545426720184,82.3441409909218,3.34255900907824,85.6867,"N"
"1740",2008,"TANNER","EBS","W166",142.5,0.990076635010001,0.00457128640622559,4.7228939981723,0.51116537913475,36.3898706891386,0.364729310861428,36.7546,"N"
"1741",2008,"TANNER","EBS","W166",147.5,0.996753770271539,0.00165623965737801,5.99623626584893,0.78138737187612,33.6886826291456,0.109717370854412,33.7984,"N"
"1742",2008,"TANNER","EBS","W166",152.5,0.998901667870905,0.000560373535252632,7.2117013686232,0.96643151963894,20.2595238474241,0.0222761525758806,20.2818,"N"
"1743",2008,"TANNER","EBS","W166",157.5,0.999672225074017,0.000167232105093205,8.66011106084739,1.23476139572578,3.99868890029607,0.00131109970393073,4,"N"
"1744",2008,"TANNER","EBS","W166",162.5,0.999895503293493,5.3314646176829e-05,10.0036492237895,1.4661515540918,1.99979100658699,0.00020899341301317,2,"N"
"1745",2009,"TANNER","EBS","ALL",12.5,0.000260923670644445,0.00020883209335525,-8.76829401373797,1.14867632947208,0.00417477873031111,15.9958252212697,16,"N"
"1746",2009,"TANNER","EBS","ALL",17.5,0.000403030138686008,0.000420129277546723,-8.51965080733661,1.31319947296744,0.0639113909084388,158.513288609092,158.5772,"N"
"1747",2009,"TANNER","EBS","ALL",22.5,0.000682784896530831,0.000657701589452317,-7.92024379699832,1.22898498209218,0.209882956306853,307.182617043693,307.3925,"N"
"1748",2009,"TANNER","EBS","ALL",27.5,0.00096304628819623,0.000884482238207254,-7.50392233278139,1.14070648324445,0.42353976426451,439.368160235736,439.7917,"N"
"1749",2009,"TANNER","EBS","ALL",32.5,0.002230516722899,0.00197282816501107,-6.61056355714047,1.0655701500928,1.12843580814504,504.779364191855,505.9078,"N"
"1750",2009,"TANNER","EBS","ALL",37.5,0.00202705210763317,0.00141109012256025,-6.49924502814619,0.818990761913249,0.699928119632243,344.593671880368,345.2936,"N"
"1751",2009,"TANNER","EBS","ALL",42.5,0.00592358142299202,0.0046064411427831,-5.41886185641061,0.779619066528068,1.61652345308326,271.279776546917,272.8963,"N"
"1752",2009,"TANNER","EBS","ALL",47.5,0.00895990037292451,0.00568769593156468,-4.93299477025763,0.702603936459836,2.04222830002061,225.887571699979,227.9298,"N"
"1753",2009,"TANNER","EBS","ALL",52.5,0.0157012251511311,0.00622974293085675,-4.23207283776667,0.464830979938913,3.24426721697498,203.380832783025,206.6251,"N"
"1754",2009,"TANNER","EBS","ALL",57.5,0.025924193821817,0.0126555040572511,-3.76006221579143,0.55337279869981,8.06584367975019,303.06605632025,311.1319,"N"
"1755",2009,"TANNER","EBS","ALL",62.5,0.0262759355918098,0.0104095431079964,-3.70313933030019,0.456334714796251,6.83370869385282,253.241091306147,260.0748,"N"
"1756",2009,"TANNER","EBS","ALL",67.5,0.0435927027788834,0.0138497357402238,-3.1491573898619,0.383461048306541,5.35980999206927,117.592190007931,122.952,"N"
"1757",2009,"TANNER","EBS","ALL",72.5,0.0709669727061628,0.0230920570870643,-2.63710801307167,0.408824551418686,8.42385062719423,110.277149372806,118.701,"N"
"1758",2009,"TANNER","EBS","ALL",77.5,0.0963337690763291,0.0236996305059933,-2.27189698045056,0.293801898864182,16.8894194286233,158.432480571377,175.3219,"N"
"1759",2009,"TANNER","EBS","ALL",82.5,0.144428050299005,0.0319983843998011,-1.80415473769115,0.268743589885214,21.9886796026526,130.257920397347,152.2466,"N"
"1760",2009,"TANNER","EBS","ALL",87.5,0.272878110673869,0.0615658056404419,-1.00182923654759,0.312267016706894,39.5512535269923,105.389846473008,144.9411,"N"
"1761",2009,"TANNER","EBS","ALL",92.5,0.373685191300414,0.0758725261404141,-0.527230931523703,0.319845657548878,58.0566281648914,97.3057718351086,155.3624,"N"
"1762",2009,"TANNER","EBS","ALL",97.5,0.449989226759435,0.076976217018179,-0.204142413330961,0.314219210192355,78.7647192853686,96.2721807146314,175.0369,"N"
"1763",2009,"TANNER","EBS","ALL",102.5,0.498043299364541,0.0734489412365738,-0.006006173898963,0.299276870092082,84.5552015409551,85.2195984590449,169.7748,"N"
"1764",2009,"TANNER","EBS","ALL",107.5,0.534465056404671,0.0660753719475865,0.142261312479686,0.272546614056082,106.241231144649,92.5392688553512,198.7805,"N"
"1765",2009,"TANNER","EBS","ALL",112.5,0.664695509480437,0.0686858746418196,0.703683841807261,0.330786804382519,130.832681826544,65.9983181734562,196.831,"N"
"1766",2009,"TANNER","EBS","ALL",117.5,0.745621624753712,0.0660626647909201,1.11411115795747,0.396026192789419,174.779524690943,59.6282753090568,234.4078,"N"
"1767",2009,"TANNER","EBS","ALL",122.5,0.832571525933084,0.0422575126063729,1.63938673075801,0.33230552066508,127.534138913956,25.6468610860443,153.181,"N"
"1768",2009,"TANNER","EBS","ALL",127.5,0.880310546781251,0.036625654958465,2.06159297186616,0.44338471979144,141.913102625512,19.2948973744881,161.208,"N"
"1769",2009,"TANNER","EBS","ALL",132.5,0.913993722310203,0.0205483122188983,2.39739914535432,0.29805011360679,118.709687452394,11.1705125476064,129.8802,"N"
"1770",2009,"TANNER","EBS","ALL",137.5,0.960269136953383,0.010594604661203,3.22967414014148,0.329652106921696,71.1048567301597,2.94194326984027,74.0468,"N"
"1771",2009,"TANNER","EBS","ALL",142.5,0.984855563344317,0.00657445888708542,4.2729789300005,0.456291952258792,28.3579310909363,0.436068909063732,28.794,"N"
"1772",2009,"TANNER","EBS","ALL",147.5,0.99296820269989,0.00358765168372979,5.28620450553333,0.881247213201203,30.016832986696,0.212567013303957,30.2294,"N"
"1773",2009,"TANNER","EBS","ALL",152.5,0.995772239799,0.0021570205107143,5.94124596788923,1.14913664399496,11.1819247895989,0.0474752104011102,11.2294,"N"
