"","SPECIES","DISTRICT","SIZE","YEAR","REGION","A_EST","A_SE","B_EST","B_SE","PROP_MATURE"
"89","TANNER","W166",30,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00941184697335882
"90","TANNER","E166",30,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00202291890953866
"91","TANNER","ALL",31,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00922539080959014
"92","TANNER","W166",31,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0101116361459431
"93","TANNER","E166",31,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0021738083219186
"94","TANNER","ALL",32,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00978457216009853
"95","TANNER","W166",32,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0108628854343073
"96","TANNER","E166",32,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00233592622368037
"97","TANNER","ALL",33,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0103772923345701
"98","TANNER","W166",33,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0116692912125949
"99","TANNER","E166",33,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00251010411205307
"100","TANNER","ALL",34,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.011005518667749
"101","TANNER","W166",34,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0125348018672709
"102","TANNER","E166",34,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00269723442861922
"103","TANNER","ALL",35,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0116713283808009
"104","TANNER","W166",35,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0134636328961308
"105","TANNER","E166",35,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00289827492872468
"106","TANNER","ALL",36,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0123769140292932
"107","TANNER","W166",36,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0144602825831283
"108","TANNER","E166",36,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00311425334901202
"109","TANNER","ALL",37,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0131245891330719
"110","TANNER","W166",37,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0155295482142363
"111","TANNER","E166",37,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00334627239103758
"112","TANNER","ALL",38,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0139167939818629
"113","TANNER","W166",38,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.016676542786828
"114","TANNER","E166",38,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00359551503962701
"115","TANNER","ALL",39,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0147561016082022
"116","TANNER","W166",39,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0179067121502605
"117","TANNER","E166",39,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00386325023527525
"118","TANNER","ALL",40,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0156452239167613
"119","TANNER","W166",40,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0192258524982268
"120","TANNER","E166",40,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00415083892048833
"121","TANNER","ALL",41,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0165870179562646
"122","TANNER","W166",41,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0206401281137738
"123","TANNER","E166",41,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00445974048047568
"124","TANNER","ALL",42,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.017584492316949
"125","TANNER","W166",42,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.022156089245408
"126","TANNER","E166",42,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00479151959901045
"127","TANNER","ALL",43,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0186408136328682
"128","TANNER","W166",43,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0237806899671817
"129","TANNER","E166",43,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00514785355055357
"130","TANNER","ALL",44,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0197593131642591
"131","TANNER","W166",44,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0255213058468233
"132","TANNER","E166",44,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00553053994985377
"133","TANNER","ALL",45,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0209434934306298
"134","TANNER","W166",45,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0273857512136168
"135","TANNER","E166",45,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0059415049801534
"136","TANNER","ALL",46,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0221970348601625
"137","TANNER","W166",46,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0293822957816514
"138","TANNER","E166",46,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00638281212080594
"139","TANNER","ALL",47,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0235238024154199
"140","TANNER","W166",47,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0315196803440886
"141","TANNER","E166",47,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00685667139449698
"142","TANNER","ALL",48,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.024927852149161
"143","TANNER","W166",48,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0338071312101413
"144","TANNER","E166",48,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00736544915329891
"145","TANNER","ALL",49,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0264134376372878
"146","TANNER","W166",49,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0362543730085103
"147","TANNER","E166",49,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00791167842141676
"148","TANNER","ALL",50,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0279850162285272
"149","TANNER","W166",50,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.038871639429182
"150","TANNER","E166",50,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00849806981062568
"151","TANNER","ALL",51,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0296472550423823
"152","TANNER","W166",51,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0416696814199947
"153","TANNER","E166",51,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00912752302197415
"154","TANNER","ALL",52,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0314050366381456
"155","TANNER","W166",52,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0446597722956528
"156","TANNER","E166",52,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0098031389442401
"157","TANNER","ALL",53,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0332634642683551
"158","TANNER","W166",53,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0478537091555443
"159","TANNER","E166",53,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0105282323557711
"160","TANNER","ALL",54,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0352278666199878
"161","TANNER","W166",54,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0512638099437072
"162","TANNER","E166",54,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0113063452315974
"163","TANNER","ALL",55,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0373038019359488
"164","TANNER","W166",55,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0549029054208117
"165","TANNER","E166",55,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0121412606519483
"166","TANNER","ALL",56,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0394970613980618
"167","TANNER","W166",56,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0587843252556598
"168","TANNER","E166",56,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0130370173013738
"169","TANNER","ALL",57,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0418136716408543
"170","TANNER","W166",57,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0629218773844639
"171","TANNER","E166",57,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0139979245394302
"172","TANNER","ALL",58,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.044259896253037
"173","TANNER","W166",58,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0673298197325177
"174","TANNER","E166",58,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0150285780141317
"175","TANNER","ALL",59,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.046842236110809
"176","TANNER","W166",59,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0720228233478045
"177","TANNER","E166",59,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0161338757779331
"178","TANNER","ALL",60,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0495674283741277
"179","TANNER","W166",60,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0770159259631315
"180","TANNER","E166",60,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0173190348526698
"181","TANNER","ALL",61,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0524424439640263
"182","TANNER","W166",61,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0823244749866279
"183","TANNER","E166",61,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0185896081744307
"184","TANNER","ALL",62,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0554744833261817
"185","TANNER","W166",62,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0879640589245499
"186","TANNER","E166",62,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0199515018315439
"187","TANNER","ALL",63,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0586709702734872
"188","TANNER","W166",63,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.0939504262704522
"189","TANNER","E166",63,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0214109924884861
"190","TANNER","ALL",64,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0620395436886877
"191","TANNER","W166",64,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.100299390956516
"192","TANNER","E166",64,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0229747448653324
"193","TANNER","ALL",65,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0655880468575754
"194","TANNER","W166",65,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.107026723562043
"195","TANNER","E166",65,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0246498291161153
"196","TANNER","ALL",66,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.0693245141942465
"197","TANNER","W166",66,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.1141480276168
