"","Year","directedfish_biomass","bin","prop_mature_weighted","prop_mature_weighted_kg","prop_mature_unweighted","survey_abundance","lag1_survey_abundance","lag2_survey_abundance","lag3_survey_abundance","survey_biomass","lag1_survey_biomass","lag2_survey_biomass","lag3_survey_biomass","MarApr_ice"
"32",2004,11.29,"Small",0.279973024610919,0.288141454200068,0.216867469879518,5.68059418484165,5.1164509397094,4.68636757763344,6.02566781516389,3.28102724265483,2.70301606404638,2.33775751136616,3.61197984951169,-0.220223605386105
"33",2005,16.77,"Large",0.779088783378881,0.785553327561658,0.806451612903226,3.12110812581715,2.88300772557851,3.51880510947283,3.64424077276044,2.29134864356954,2.08365073389464,2.66970099848883,2.79132724751784,-0.202330629162375
"34",2005,16.77,"Small",0.189878281456478,0.192801949541551,0.278688524590164,6.37405726878774,5.68059418484165,5.1164509397094,4.68636757763344,3.97339197182683,3.28102724265483,2.70301606404638,2.33775751136616,-0.202330629162375
"35",2006,16.49,"Large",0.566874576979516,0.565361302580897,0.801801801801802,2.87105214205414,3.12110812581715,2.88300772557851,3.51880510947283,2.06237801308956,2.29134864356954,2.08365073389464,2.66970099848883,0.0145105391059863
"36",2006,16.49,"Small",0.167764434891371,0.180903050573745,0.311881188118812,5.45849548859227,6.37405726878774,5.68059418484165,5.1164509397094,3.07418606932218,3.97339197182683,3.28102724265483,2.70301606404638,0.0145105391059863
"37",2007,28.59,"Large",0.700646230050596,0.714645232148084,0.757668711656442,4.21034021160007,2.87105214205414,3.12110812581715,2.88300772557851,3.36190697745482,2.06237801308956,2.29134864356954,2.08365073389464,0.418634377674407
"38",2007,28.59,"Small",0.214267263600139,0.222182281220157,0.39344262295082,5.73187900553997,5.45849548859227,6.37405726878774,5.68059418484165,3.28150634483992,3.07418606932218,3.97339197182683,3.28102724265483,0.418634377674407
"39",2009,21.78,"Large",0.272921714709568,0.285063508547089,0.333333333333333,3.90220853844927,4.21034021160007,2.87105214205414,3.12110812581715,3.04332259385403,3.36190697745482,2.06237801308956,2.29134864356954,0.799786035627837
"40",2009,21.78,"Small",0.406972666825147,0.400083048693612,0.470588235294118,4.9132599759552,5.73187900553997,5.45849548859227,6.37405726878774,2.52008517176495,3.28150634483992,3.07418606932218,3.97339197182683,0.799786035627837
"41",2010,24.61,"Large",0.842268852055299,0.841492936265199,0.865384615384615,3.93752523636902,3.90220853844927,4.21034021160007,2.87105214205414,3.08885130419418,3.04332259385403,3.36190697745482,2.06237801308956,1.42907151936001
"42",2010,24.61,"Small",0.456284875171252,0.455242423910477,0.424242424242424,5.7624878331966,4.9132599759552,5.73187900553997,5.45849548859227,3.30494781099087,2.52008517176495,3.28150634483992,3.07418606932218,1.42907151936001
"43",2011,40.29,"Large",0.783341982981822,0.814223050966905,0.75,3.64255746055141,3.93752523636902,3.90220853844927,4.21034021160007,2.8013270352569,3.08885130419418,3.04332259385403,3.36190697745482,-0.151636216503621
