"","SPECIES","SIZE","YEAR","REGION","DISTRICT","A_EST","A_SE","B_EST","B_SE","PROP_MATURE"
"215","SNOW",71,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.287239786565192
"216","SNOW",76,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.359386132277157
"217","SNOW",81,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.438505088157002
"218","SNOW",86,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.52087957621731
"219","SNOW",91,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.602134085323808
"220","SNOW",96,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.6781238950148
"221","SNOW",101,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.745728974750746
"222","SNOW",106,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.803254360616427
"223","SNOW",111,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.8503766080305
"224","SNOW",116,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.887789301671377
"225","SNOW",121,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.916762792135989
"226","SNOW",126,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.938771107106564
"227","SNOW",131,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.955244402371339
"228","SNOW",136,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.967439371148136
"229","SNOW",141,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.976393581117715
"230","SNOW",146,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.982928824327206
"231","SNOW",151,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.987677672031275
"232","SNOW",156,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.99111742655467
"233","SNOW",161,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.993603198960295
"234","SNOW",166,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.995396563402128
"235","SNOW",171,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.996688827654228
"236","SNOW",176,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.997619198641817
