"","YEAR","SPECIES","DISTRICT","SIZE_5MM","PROP_MATURE_mean","PROP_MATURE_lo","PROP_MATURE_hi"
"26",1989,"SNOW","ALL",142.5,0.985934960254532,0.909253649022387,0.999688294549067
"27",1990,"SNOW","ALL",7.5,1.69304495218776e-06,3.07922744880921e-09,1.05855238568746e-05
"28",1990,"SNOW","ALL",12.5,5.72500269149313e-05,3.40112054824932e-07,0.000431024099612005
"29",1990,"SNOW","ALL",17.5,8.04431374503347e-06,1.10861473443163e-07,4.41557471655836e-05
"30",1990,"SNOW","ALL",22.5,0.000663748566942,2.78459712115567e-05,0.00379481662707181
"31",1990,"SNOW","ALL",27.5,0.00118563896407444,0.000117008846435249,0.00496381301880109
"32",1990,"SNOW","ALL",32.5,0.00107768718702497,0.000239900338201044,0.00319894520214342
"33",1990,"SNOW","ALL",37.5,0.00287275331910703,0.00106900424486738,0.00652126268004439
"34",1990,"SNOW","ALL",42.5,0.0136235464094151,0.00591069424171768,0.0368738772558457
"35",1990,"SNOW","ALL",47.5,0.03829209558325,0.0212412167127297,0.0829105534667534
"36",1990,"SNOW","ALL",52.5,0.0774545481065821,0.0538940123342649,0.114430511630238
"37",1990,"SNOW","ALL",57.5,0.122673811225384,0.0933479766958004,0.165255710582296
"38",1990,"SNOW","ALL",62.5,0.151658963753376,0.121850023570043,0.185840055347113
"39",1990,"SNOW","ALL",67.5,0.191736213458708,0.158469455766083,0.232364880459788
"40",1990,"SNOW","ALL",72.5,0.252439996695669,0.206100612270182,0.304938176751187
"41",1990,"SNOW","ALL",77.5,0.287217722519429,0.237711631274017,0.348497020258769
"42",1990,"SNOW","ALL",82.5,0.286606831359066,0.234155975459659,0.346980054648846
"43",1990,"SNOW","ALL",87.5,0.296668994490039,0.236985975088537,0.366544435582212
"44",1990,"SNOW","ALL",92.5,0.318925581283042,0.25510314666095,0.388746425054447
"45",1990,"SNOW","ALL",97.5,0.409614261416528,0.338740427080642,0.48674475240181
"46",1990,"SNOW","ALL",102.5,0.55180581161879,0.47783741167653,0.629031920869788
"47",1990,"SNOW","ALL",107.5,0.714025023349043,0.637840756321894,0.780438138738199
"48",1990,"SNOW","ALL",112.5,0.795053834412637,0.739598205217456,0.842105361449981
"49",1990,"SNOW","ALL",117.5,0.839578152811962,0.790762746704622,0.878593116729913
"50",1990,"SNOW","ALL",122.5,0.865217563856499,0.823735287937394,0.901538609408304
"51",1990,"SNOW","ALL",127.5,0.932896638853396,0.896812372460994,0.956101861067102
"52",1990,"SNOW","ALL",132.5,0.904970058443214,0.81184996653435,0.963670329743316
"53",1990,"SNOW","ALL",137.5,0.959724316687649,0.887103862944389,0.992857408242081
"54",1990,"SNOW","ALL",142.5,0.881292565021496,0.581401076004838,0.992363055348676
"55",1990,"SNOW","ALL",147.5,0.938673076791267,0.67529513713164,0.998518768752641
"56",1991,"SNOW","ALL",12.5,1.85749941933801e-05,1.11698606357296e-07,0.000117734296520444
