"","SPECIES","REGION","DISTRICT","YEAR","SIZE_BIN","NUM_IMMATURE","NUM_MATURE","TOTAL_CRAB","PROP_MATURE","PROP_MATURE_SD","LOGIT","LOGIT_SD","N_CHELA"
"122","TANNER","EBS","ALL",1993,147.5,5.02469182742669,93.9771081725733,99.0018,0.949246459888338,0.0258946633222763,3.05867599919253,0.543066752464501,7
"123","TANNER","EBS","ALL",1993,152.5,1.76698434484166,74.0881156551583,75.8551,0.976705793745685,0.0118847991093442,3.98575825931872,0.734648389319168,7
"124","TANNER","EBS","ALL",1993,157.5,0.618975029481113,63.8000249705189,64.419,0.990391421327852,0.00490233605721844,5.07293546747547,0.951218106146612,5
"125","TANNER","EBS","ALL",1993,162.5,0.168965358665794,36.4567346413342,36.6257,0.995386699539782,0.0023537247246008,6.04576191598481,1.18043658594417,4
"126","TANNER","EBS","ALL",1993,167.5,0.034972648830756,14.5069273511692,14.5419,0.997595042681441,0.00122701904008121,7.00857557533881,1.40727009276859,1
"127","TANNER","EBS","ALL",1994,32.5,148.937491818929,0.43570818107062,149.3732,0.00291691000173137,0.00490096850174947,-6.46566423800674,1.0999608173218,3
"128","TANNER","EBS","ALL",1994,37.5,68.1287321393208,0.271267860679186,68.4,0.00396590439589453,0.00430647895013118,-5.94413411554057,0.924829204448309,5
"129","TANNER","EBS","ALL",1994,42.5,184.365519160901,1.41298083909937,185.7785,0.00760572853747539,0.00698430305855238,-5.2090833403285,0.833047875300143,12
"130","TANNER","EBS","ALL",1994,47.5,219.136945921882,1.43705407811787,220.574,0.00651506559303395,0.00423252172847493,-5.21208451473648,0.618834173817425,4
"131","TANNER","EBS","ALL",1994,52.5,142.411550675467,2.17724932453255,144.5888,0.0150582156054449,0.00744980298925296,-4.29646791697447,0.492454167073596,9
"132","TANNER","EBS","ALL",1994,57.5,96.2646236702142,2.58257632978579,98.8472,0.0261269548331747,0.00992889273766066,-3.68557468520294,0.376668869881609,8
"133","TANNER","EBS","ALL",1994,62.5,69.7371317814108,3.82766821858923,73.5648,0.0520312461746546,0.0200747900516745,-2.97364400427326,0.4005690429941,12
"134","TANNER","EBS","ALL",1994,67.5,54.9943772407957,4.29642275920426,59.2908,0.0724635653289255,0.0232404870242817,-2.5984405268715,0.339285048244963,9
"135","TANNER","EBS","ALL",1994,72.5,71.7572764891251,7.24272351087486,79,0.0916800444414539,0.0251584182320996,-2.32999927757292,0.30122016089345,22
"136","TANNER","EBS","ALL",1994,77.5,69.681241272561,9.55135872743903,79.2326,0.12054834408361,0.0302226202885558,-2.0177130829164,0.28447691676177,22
"137","TANNER","EBS","ALL",1994,82.5,40.4458351558262,11.4367648441738,51.8826,0.220435460909319,0.0337164375250519,-1.27401808117586,0.197933978067204,21
"138","TANNER","EBS","ALL",1994,87.5,27.3892658335778,20.4933341664222,47.8826,0.427991257083412,0.0469385954692506,-0.292725155543662,0.193371789258355,17
"139","TANNER","EBS","ALL",1994,92.5,33.3051126308588,39.4600873691412,72.7652,0.542293395320032,0.0463051381001158,0.17109457165284,0.188250477595573,26
"140","TANNER","EBS","ALL",1994,97.5,39.5829061541314,49.3715938458686,88.9545,0.555020756070447,0.0506545740774786,0.223358324122354,0.207286374453543,22
"141","TANNER","EBS","ALL",1994,102.5,31.2556416224927,43.1573583775073,74.413,0.57997068223976,0.0476056695493107,0.325649249307966,0.196761301862642,23
